id|2-2015|2-2030-O|2-2050-O|2-2030-P|2-2050-P|3-2015|4-2015|5-2015|5-2030-O|5-2050-O|5-2030-P|5-2050-P|6-2015|7-2015|8-2015|9-2015
1100015|0.68|0.68|0.64|0.70|0.69|0.81|0.25|0.30|0.46|0.38|0.51|0.48|0.69|0.19|0.17|0.64
1100023|0.65|0.65|0.62|0.62|0.67|0.53|0.34|0.26|0.45|0.41|0.41|0.50|0.57|0.59|0.17|0.54
1100049|0.75|0.75|0.72|0.71|0.74|0.71|0.39|0.38|0.45|0.40|0.39|0.44|0.69|0.41|0.0|0.0
1100056|0.73|0.73|0.70|0.72|0.71|0.47|0.38|0.26|0.64|0.57|0.61|0.58|0.44|0.49|DI|DI
1100064|0.71|0.71|0.70|0.72|0.78|0.61|0.40|0.26|0.43|0.41|0.45|0.58|0.44|0.17|0.28|0.46
1100080|0.60|0.60|0.57|0.55|0.54|0.62|0.26|0.36|0.42|0.37|0.34|0.32|0.45|0.16|0.45|0.52
1100098|0.66|0.66|0.62|0.61|0.64|0.67|0.26|0.34|0.48|0.40|0.38|0.45|0.61|0.34|0.20|0.57
1100106|0.45|0.45|0.43|0.47|0.43|0.57|0.16|0.24|0.39|0.35|0.43|0.36|0.51|0.40|0.49|0.17
1100114|0.47|0.47|0.43|0.44|0.48|0.51|0.16|0.29|0.47|0.39|0.41|0.48|0.44|0.39|0.17|0.46
1100122|0.65|0.65|0.63|0.60|0.64|0.50|0.35|0.33|0.47|0.44|0.38|0.45|0.44|0.42|0.15|0.63
1100130|0.59|0.59|0.56|0.55|0.61|0.47|0.31|0.26|0.44|0.38|0.37|0.47|0.36|0.34|0.09|0.38
1100155|0.73|0.73|0.66|0.65|0.69|0.58|0.35|0.33|0.56|0.42|0.40|0.47|0.38|0.14|0.40|0.36
1100189|0.56|0.56|0.52|0.87|0.55|0.57|0.20|0.34|0.48|0.41|0.38|0.46|0.44|0.26|0.34|0.44
1100205|0.29|0.29|0.27|0.26|0.32|0.23|0.17|0.21|0.43|0.40|0.37|0.49|0.34|0.85|0.15|0.37
1100254|0.74|0.74|0.70|0.70|0.66|0.71|0.32|0.33|0.52|0.44|0.44|0.38|0.59|0.23|0.24|0.55
1100288|0.73|0.73|0.69|0.79|0.73|0.65|0.38|0.31|0.47|0.39|0.60|0.47|0.59|0.36|0.21|0.55
1100296|0.61|0.61|0.58|0.66|0.60|0.60|0.25|0.32|0.48|0.41|0.58|0.46|0.44|0.20|0.46|0.34
1100304|0.70|0.70|0.64|0.67|0.69|0.55|0.36|0.30|0.50|0.40|0.45|0.48|0.44|0.31|0.45|0.30
1100338|0.36|0.36|0.35|0.36|0.37|0.42|0.16|0.22|0.36|0.34|0.36|0.38|0.31|0.38|0.18|0.35
